GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",537,77,80,46,56,37,46,32,59,41,15,18,0,11,25,18,29,25,28,23,73,48,17,15,72,40,13,15,24,25,0,11,0,11
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",618,94,76,52,45,51,44,50,80,44,89,65,16,26,14,19,29,37,0,11,33,38,33,36,85,57,31,35,3,6,0,11,40,37
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",276,43,30,22,39,28,21,21,9,10,14,12,8,8,23,15,11,11,5,8,21,18,47,26,10,8,13,13,12,12,0,11,13,11
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",873,229,38,58,36,44,0,11,17,27,26,31,0,11,27,31,116,127,141,96,126,109,21,33,198,87,34,35,15,25,78,78,0,11
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",1832,172,253,137,80,65,247,156,228,149,108,102,155,97,91,76,187,139,63,94,205,141,41,48,77,77,73,85,0,16,24,28,0,16
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",1051,137,105,56,128,85,56,37,64,36,92,63,108,77,16,17,59,61,69,53,40,40,83,63,86,56,69,49,8,12,18,21,50,38
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",842,156,112,77,92,77,14,24,23,26,70,50,17,32,103,70,64,44,0,11,161,113,49,40,77,53,18,28,42,47,0,11,0,11
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",1116,144,218,84,97,61,82,55,73,58,128,88,68,59,70,48,49,52,56,42,79,59,14,16,93,65,31,35,18,28,23,36,17,19
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",1525,222,417,151,152,109,131,105,172,110,77,84,54,54,129,122,26,44,48,58,70,61,13,20,90,82,62,68,59,70,0,16,25,48
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",663,85,12,14,36,32,33,35,0,11,46,33,70,49,104,66,35,30,27,32,28,22,60,48,79,53,60,36,47,41,26,23,0,11
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",1899,197,284,139,188,132,82,71,97,90,250,147,45,52,123,106,60,56,87,83,75,71,158,88,219,137,117,89,4,14,60,67,50,63
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",979,112,14,22,37,33,41,41,113,68,122,74,146,77,33,39,37,44,18,21,58,53,63,46,37,41,149,88,51,51,50,43,10,16
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",628,71,64,44,47,40,24,24,12,13,43,27,56,41,53,39,46,34,19,30,25,24,58,28,85,66,47,30,5,8,31,24,13,20
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",1161,121,130,89,66,54,116,66,27,21,134,92,55,50,45,39,95,73,90,87,78,49,89,56,107,69,40,32,42,54,30,31,17,28
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",928,108,177,72,154,81,59,45,78,62,76,55,54,46,49,46,52,52,24,26,45,51,113,77,28,29,10,15,0,11,9,15,0,11
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",737,99,55,49,34,45,118,70,69,54,25,25,26,27,23,28,9,15,17,20,41,29,87,63,101,60,40,46,14,24,68,52,10,15
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",1480,178,157,77,159,70,86,47,85,50,80,55,113,54,65,55,126,121,46,39,203,93,167,75,118,86,48,44,12,18,15,24,0,16
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",1066,131,61,43,88,56,79,59,77,55,146,78,43,43,43,48,58,44,87,58,89,56,42,46,126,61,70,46,19,25,29,41,9,14
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",486,58,15,22,70,37,47,30,42,26,10,11,31,30,21,25,12,19,75,43,19,17,56,33,46,32,15,14,14,14,6,9,7,11
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",1527,221,242,127,74,73,170,99,67,68,114,92,58,66,48,50,76,82,26,43,132,107,137,99,99,92,146,100,48,47,58,61,32,34
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",1547,189,202,125,194,117,152,95,70,74,152,111,269,146,92,94,73,66,0,16,201,90,49,62,83,67,10,26,0,16,0,16,0,16
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",1477,166,275,112,158,90,125,69,85,51,73,62,29,33,101,65,72,64,88,62,185,129,113,74,74,55,15,18,9,15,8,13,67,49
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",610,63,13,14,23,19,0,11,8,14,36,28,4,6,22,20,26,24,13,21,36,29,86,44,161,60,51,38,54,35,44,30,33,27
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",1317,128,208,85,121,73,93,64,137,79,32,32,170,99,25,26,13,13,75,67,92,66,113,65,166,79,38,42,16,18,0,16,18,29
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",944,135,141,79,86,61,10,21,188,80,119,76,44,45,65,49,32,37,0,11,74,58,40,53,62,60,35,33,20,25,28,34,0,11
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",1364,153,187,84,140,59,133,71,45,38,59,44,120,60,167,74,98,59,40,31,46,43,168,74,72,50,65,46,0,16,24,26,0,16
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",740,102,121,65,10,15,72,59,58,44,44,41,73,60,35,36,48,46,33,22,56,49,71,62,82,55,37,39,0,11,0,11,0,11
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",970,105,148,88,92,65,39,38,69,54,64,56,56,37,29,37,28,30,62,55,67,34,55,50,50,42,65,67,47,30,40,40,59,63
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",1371,110,75,57,63,59,78,58,68,47,114,69,54,51,88,61,70,47,50,43,222,93,72,51,184,79,94,58,45,35,41,41,53,35
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",1193,124,235,97,91,58,102,69,62,54,59,52,130,81,96,73,104,60,39,39,54,44,88,60,66,49,20,25,31,47,16,27,0,16
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",587,65,20,23,38,32,40,31,33,34,47,29,11,17,0,11,17,18,25,20,89,44,77,35,96,51,24,22,13,14,46,30,11,10
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",1261,124,88,72,49,55,81,75,54,53,0,16,42,41,67,57,16,18,20,23,58,45,159,77,159,74,125,69,159,78,69,50,115,74
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",37,34,8,12,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,14,22,0,11,15,24,0,11,0,11
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",880,113,110,58,105,52,96,59,83,67,48,40,90,63,28,35,115,62,18,29,19,21,49,46,78,64,0,11,10,18,0,11,31,33
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",367,58,60,44,21,32,44,42,71,47,27,33,11,13,39,33,17,26,0,11,8,10,7,10,43,33,0,11,9,13,0,11,10,12
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",927,113,14,20,35,46,45,43,19,21,0,16,0,16,8,14,0,16,8,14,8,13,153,79,140,56,173,69,125,70,75,52,124,62
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",1144,128,271,94,68,55,89,55,31,36,118,69,84,58,101,67,81,61,32,38,119,73,49,36,37,29,40,36,0,16,10,16,14,16
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",671,72,119,43,71,39,50,35,36,27,67,42,42,29,72,37,62,41,26,25,17,17,47,34,27,24,20,16,15,16,0,11,0,11
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",412,57,85,40,70,47,48,33,79,52,22,25,20,24,25,23,0,11,0,11,30,39,0,11,10,16,23,31,0,11,0,11,0,11
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",948,124,197,92,81,65,26,34,27,26,20,26,106,66,68,44,79,56,52,52,44,44,141,87,55,58,16,24,21,23,0,11,15,24
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",1113,112,135,85,40,43,68,46,207,103,66,65,112,66,54,54,28,30,37,43,57,48,88,65,63,49,51,40,15,24,31,29,61,49
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",511,79,125,67,40,28,25,24,93,48,37,36,9,11,17,23,11,13,10,10,43,34,27,30,36,30,6,8,20,17,4,7,8,12
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",949,134,126,82,83,66,102,67,145,71,135,91,23,30,51,59,49,45,12,19,77,62,54,48,34,37,9,19,6,12,43,58,0,11
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",384,44,7,11,0,11,0,11,18,26,19,18,0,11,10,15,15,15,0,11,33,22,76,46,56,41,27,17,35,28,79,36,9,16
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",1088,127,143,71,68,54,44,37,61,48,59,46,86,50,20,29,108,62,9,16,138,68,77,44,198,80,20,25,57,52,0,16,0,16
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",1726,211,0,16,0,16,54,52,30,38,13,22,47,53,19,30,19,29,14,23,71,57,96,78,182,96,329,143,256,159,307,148,289,136
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",1561,198,143,104,164,125,154,102,193,160,110,107,214,121,40,52,67,55,32,41,139,120,80,73,88,76,105,69,1,23,13,23,18,32
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",974,113,152,80,89,56,70,50,75,58,26,36,27,21,80,54,32,40,7,12,92,69,0,11,205,96,61,55,35,38,10,15,13,24
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",620,95,15,18,30,43,10,16,10,13,15,23,18,26,8,13,17,19,23,27,53,48,53,39,84,54,165,57,46,33,62,35,11,16
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",1212,134,102,59,133,73,182,67,58,48,86,63,50,47,74,51,65,48,31,37,74,52,117,69,130,73,43,43,20,21,12,19,35,38
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",186,45,16,19,4,7,19,22,0,11,29,23,0,11,32,29,13,13,12,12,46,38,8,13,7,10,0,11,0,11,0,11,0,11
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",1187,214,316,164,97,115,65,98,114,80,26,42,35,57,88,79,21,32,29,48,53,62,65,84,78,68,38,44,85,84,56,45,21,33
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",1541,204,313,154,258,135,110,87,26,34,158,117,120,92,116,107,74,65,55,67,94,76,133,103,72,75,0,16,0,16,0,16,12,20
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",1622,145,403,202,248,165,102,80,290,209,148,159,72,82,43,52,110,113,26,43,41,50,46,52,62,85,13,20,6,18,12,19,0,16
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",1361,97,295,110,148,81,148,68,153,82,125,76,52,52,39,35,44,50,44,43,107,70,110,71,73,59,23,34,0,16,0,16,0,16
