GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1400000US17031050500,17031050500,"Census Tract 505, Cook County, Illinois",1188,172,12,21,0,16,13,19,0,16,35,57,0,16,6,10,49,69,74,66,77,41,139,61,175,94,75,48,147,84,149,95,237,115
1400000US17031050600,17031050600,"Census Tract 506, Cook County, Illinois",503,95,0,11,0,11,0,11,8,12,0,11,26,41,6,11,45,43,42,59,8,12,40,29,39,30,90,68,54,53,74,41,71,53
1400000US17031050700,17031050700,"Census Tract 507, Cook County, Illinois",300,57,0,11,14,20,0,11,0,11,0,11,0,11,0,11,21,23,0,11,0,11,13,10,38,29,39,23,56,33,59,30,60,25
1400000US17031050800,17031050800,"Census Tract 508, Cook County, Illinois",357,69,0,11,9,10,8,11,0,11,0,11,0,11,7,10,0,11,25,25,6,9,3,7,42,24,33,42,50,26,64,31,110,41
1400000US17031050900,17031050900,"Census Tract 509, Cook County, Illinois",356,65,0,11,5,9,9,10,0,11,0,11,0,11,0,11,5,7,5,8,49,38,17,17,23,18,70,51,29,27,45,25,99,44
1400000US17031051000,17031051000,"Census Tract 510, Cook County, Illinois",355,55,5,8,7,12,0,11,0,11,8,14,8,13,13,15,0,11,7,11,10,9,46,37,27,25,55,35,16,15,36,33,117,47
1400000US17031051100,17031051100,"Census Tract 511, Cook County, Illinois",423,89,17,17,0,11,9,14,28,42,0,11,0,11,23,33,0,11,10,17,22,21,14,17,56,43,27,25,62,40,92,66,63,30
1400000US17031051200,17031051200,"Census Tract 512, Cook County, Illinois",299,70,18,26,0,11,0,11,0,11,16,22,0,11,13,18,6,8,0,11,21,21,0,11,37,34,23,20,29,24,36,20,100,54
1400000US17031051300,17031051300,"Census Tract 513, Cook County, Illinois",700,116,20,21,0,11,22,22,0,11,17,19,0,11,7,12,30,48,11,16,0,11,33,27,14,21,95,51,33,30,127,54,291,102
1400000US17031051400,17031051400,"Census Tract 514, Cook County, Illinois",456,89,12,21,8,15,26,33,0,11,13,20,19,24,36,31,23,36,18,23,0,11,37,40,14,12,27,26,38,26,46,30,139,51
1400000US17031060100,17031060100,"Census Tract 601, Cook County, Illinois",597,106,0,11,17,15,0,11,0,11,0,11,4,6,3,7,0,11,15,18,45,39,56,42,35,31,27,26,37,33,73,50,285,70
1400000US17031060200,17031060200,"Census Tract 602, Cook County, Illinois",324,82,23,17,0,11,0,11,0,11,16,25,0,11,8,11,8,14,28,32,29,31,7,12,96,50,7,11,8,13,35,21,59,36
1400000US17031060300,17031060300,"Census Tract 603, Cook County, Illinois",643,140,8,12,8,13,7,12,11,19,0,11,0,11,16,17,0,11,5,7,62,49,32,30,91,64,85,55,62,58,43,31,213,90
1400000US17031060400,17031060400,"Census Tract 604, Cook County, Illinois",740,95,26,41,0,11,0,11,0,11,17,19,9,13,0,11,7,11,0,11,8,14,17,19,69,41,81,48,80,44,92,49,334,72
1400000US17031060500,17031060500,"Census Tract 605, Cook County, Illinois",149,39,21,21,10,16,4,6,15,16,0,11,4,6,0,11,4,6,0,11,0,11,12,15,4,6,4,6,0,11,8,12,63,29
1400000US17031060800,17031060800,"Census Tract 608, Cook County, Illinois",668,156,0,11,0,11,0,11,9,14,11,17,10,17,0,11,35,39,0,11,14,22,68,46,47,43,106,64,104,82,69,67,195,109
1400000US17031060900,17031060900,"Census Tract 609, Cook County, Illinois",958,251,0,16,0,16,16,24,0,16,0,16,52,41,52,51,21,33,67,68,40,62,113,135,86,70,122,85,183,132,100,73,106,78
1400000US17031061000,17031061000,"Census Tract 610, Cook County, Illinois",218,59,10,16,0,11,0,11,13,16,12,22,0,11,4,7,0,11,0,11,11,9,9,14,46,33,20,18,5,8,37,25,51,34
1400000US17031061100,17031061100,"Census Tract 611, Cook County, Illinois",176,48,4,6,0,11,0,11,0,11,7,7,11,17,9,9,0,11,5,8,9,14,5,8,23,17,40,16,0,11,28,21,35,19
1400000US17031061200,17031061200,"Census Tract 612, Cook County, Illinois",294,76,0,11,0,11,0,11,10,12,6,9,0,11,0,11,0,11,0,11,14,12,5,8,36,43,24,16,5,9,100,51,94,49
1400000US17031061500,17031061500,"Census Tract 615, Cook County, Illinois",313,64,0,11,0,11,0,11,0,11,21,32,0,11,3,5,0,11,18,26,11,18,37,22,33,27,53,32,53,33,39,22,45,20
1400000US17031061800,17031061800,"Census Tract 618, Cook County, Illinois",95,41,4,8,6,8,5,8,0,11,0,11,17,26,0,11,0,11,0,11,16,17,4,7,10,15,9,10,19,18,0,11,5,7
1400000US17031061901,17031061901,"Census Tract 619.01, Cook County, Illinois",495,142,40,65,0,11,62,92,13,25,17,28,11,19,0,11,16,28,0,11,0,11,36,39,87,96,110,96,28,37,11,28,64,47
1400000US17031061902,17031061902,"Census Tract 619.02, Cook County, Illinois",533,124,0,11,0,11,15,24,45,44,0,11,0,11,0,11,13,20,10,16,48,43,0,11,35,41,53,46,26,30,110,67,178,101
